# The atmospheric event per electron in (Ev_min,Ev_max) = (25,100) MeV
# With nu_e, nu_e_bar, nu_mu and nu_mu_bar included
# The dataset is compatible to R_s = 10 kpc with t_van and 20 degree angular resolution are considered
# Multiplying the total electron number in a detector to get the total atmospheric background event
# mx (MeV)     events/electron
1.00000e-06     1.71576e-40
1.38950e-06     2.38404e-40
1.93070e-06     3.31261e-40
2.68270e-06     4.60285e-40
3.72759e-06     6.39564e-40
5.17947e-06     8.88672e-40
7.19686e-06     1.23481e-39
1.00000e-05     1.71576e-39
1.38950e-05     2.38404e-39
1.93070e-05     3.31261e-39
2.68270e-05     4.60285e-39
3.72759e-05     6.39564e-39
5.17947e-05     8.88672e-39
7.19686e-05     1.23481e-38
1.00000e-04     1.71576e-38
1.38950e-04     2.38403e-38
1.93070e-04     3.31260e-38
2.68270e-04     4.60285e-38
3.72759e-04     6.39563e-38
5.17947e-04     8.88670e-38
7.19686e-04     1.23480e-37
1.00000e-03     1.71575e-37
1.38950e-03     2.38402e-37
1.93070e-03     3.31258e-37
2.68270e-03     4.60279e-37
3.72759e-03     6.39553e-37
5.17947e-03     8.88649e-37
7.19686e-03     1.23476e-36
1.00000e-02     1.71567e-36
1.38950e-02     2.38387e-36
1.93070e-02     3.31229e-36
2.68270e-02     4.60224e-36
3.72759e-02     6.39445e-36
5.17947e-02     8.88442e-36
7.19686e-02     1.23436e-35
1.00000e-01     1.71490e-35
1.38950e-01     1.83993e-35
1.93070e-01     1.83993e-35
2.68270e-01     1.83993e-35
3.72759e-01     1.83993e-35
5.17947e-01     1.83993e-35
7.19686e-01     1.83993e-35
1.00000e+00     1.83993e-35
1.38950e+00     1.83993e-35
1.93070e+00     7.13779e-35
2.68270e+00     7.13779e-35
3.72759e+00     7.13779e-35
5.17947e+00     7.13779e-35
7.19686e+00     7.13779e-35
1.00000e+01     1.52546e-34
