# The atmospheric event per electron in (Ev_min,Ev_max) = (25,100) MeV
# With nu_e, nu_e_bar, nu_mu and nu_mu_bar included
# The dataset is compatible to R_s = 8.5 kpc with t_van and 20 degree angular resolution are considered
# Multiplying the total electron number in a detector to get the total atmospheric background event
# mx (MeV)     events/electron
1.00000e-06     1.45839e-40
1.38950e-06     2.02643e-40
1.93070e-06     2.81572e-40
2.68270e-06     3.91243e-40
3.72759e-06     5.43630e-40
5.17947e-06     7.55371e-40
7.19686e-06     1.04958e-39
1.00000e-05     1.45839e-39
1.38950e-05     2.02643e-39
1.93070e-05     2.81572e-39
2.68270e-05     3.91243e-39
3.72759e-05     5.43630e-39
5.17947e-05     7.55371e-39
7.19686e-05     1.04958e-38
1.00000e-04     1.45839e-38
1.38950e-04     2.02643e-38
1.93070e-04     2.81571e-38
2.68270e-04     3.91242e-38
3.72759e-04     5.43629e-38
5.17947e-04     7.55369e-38
7.19686e-04     1.04958e-37
1.00000e-03     1.45839e-37
1.38950e-03     2.02642e-37
1.93070e-03     2.81569e-37
2.68270e-03     3.91237e-37
3.72759e-03     5.43620e-37
5.17947e-03     7.55352e-37
7.19686e-03     1.04955e-36
1.00000e-02     1.45832e-36
1.38950e-02     2.02629e-36
1.93070e-02     2.81544e-36
2.68270e-02     3.91190e-36
3.72759e-02     5.43529e-36
5.17947e-02     7.55176e-36
7.19686e-02     1.04921e-35
1.00000e-01     1.45766e-35
1.38950e-01     1.83993e-35
1.93070e-01     1.83993e-35
2.68270e-01     1.83993e-35
3.72759e-01     1.83993e-35
5.17947e-01     1.83993e-35
7.19686e-01     1.83993e-35
1.00000e+00     1.83993e-35
1.38950e+00     1.83993e-35
1.93070e+00     7.13779e-35
2.68270e+00     7.13779e-35
3.72759e+00     7.13779e-35
5.17947e+00     7.13779e-35
7.19686e+00     7.13779e-35
1.00000e+01     1.52546e-34
