# BDM event per electron, with t_van included, assuming the open angle can fully cover the BDM flux
# Assuming g_V = g_X = 1 and eps = 0 (this induces eps_prime = g_V/70)
# Multiplying the total electron number in a detector to get the total events
# mx (MeV)   events/electron 

1.00000e-06   1.27294e+01
1.38950e-06   7.79881e+00
1.93070e-06   4.79614e+00
2.68270e-06   2.91181e+00
3.72759e-06   1.75177e+00
5.17947e-06   1.08760e+00
7.19686e-06   6.61664e-01
1.00000e-05   4.12080e-01
1.38950e-05   2.46632e-01
1.93070e-05   1.52508e-01
2.68270e-05   9.18844e-02
3.72759e-05   5.67577e-02
5.17947e-05   3.46150e-02
7.19686e-05   2.09985e-02
1.00000e-04   1.28486e-02
1.38950e-04   7.78691e-03
1.93070e-04   4.74810e-03
2.68270e-04   2.90410e-03
3.72759e-04   1.76656e-03
5.17947e-04   1.08409e-03
7.19686e-04   6.67691e-04
1.00000e-03   4.07399e-04
1.38950e-03   2.49681e-04
1.93070e-03   1.49855e-04
2.68270e-03   9.03220e-05
3.72759e-03   5.64198e-05
5.17947e-03   3.45307e-05
7.19686e-03   2.09121e-05
1.00000e-02   1.27514e-05
1.38950e-02   7.67232e-06
1.93070e-02   4.64516e-06
2.68270e-02   2.79977e-06
3.72759e-02   1.64674e-06
5.17947e-02   9.27869e-07
7.19686e-02   5.07730e-07
1.00000e-01   2.44242e-07
1.38950e-01   1.05708e-07
1.93070e-01   3.93976e-08
2.68270e-01   1.25856e-08
3.72759e-01   3.46679e-09
5.17947e-01   8.58253e-10
7.19686e-01   1.95184e-10
1.00000e+00   4.15996e-11
1.38950e+00   7.75536e-12
1.93070e+00   1.34515e-12
2.68270e+00   2.21319e-13
3.72759e+00   3.22611e-14
5.17947e+00   3.80846e-15
7.19686e+00   3.52245e-16
1.00000e+01   2.61242e-17
