# BDM event per electron, with t_van included, assuming the open angle can fully cover the BDM flux
# Assuming g_V = g_X = eps = 1
# Multiplying the total electron number in a detector to get the total events
# mx (MeV)   events/electron 

1.00000e-06   1.19089e+03
1.38950e-06   7.20389e+02
1.93070e-06   4.44341e+02
2.68270e-06   2.71008e+02
3.72759e-06   1.65593e+02
5.17947e-06   1.00123e+02
7.19686e-06   6.12402e+01
1.00000e-05   3.73626e+01
1.38950e-05   2.28829e+01
1.93070e-05   1.40434e+01
2.68270e-05   8.46348e+00
3.72759e-05   5.21359e+00
5.17947e-05   3.17586e+00
7.19686e-05   1.93332e+00
1.00000e-04   1.17047e+00
1.38950e-04   7.29630e-01
1.93070e-04   4.40481e-01
2.68270e-04   2.69810e-01
3.72759e-04   1.64597e-01
5.17947e-04   1.01196e-01
7.19686e-04   6.14488e-02
1.00000e-03   3.72244e-02
1.38950e-03   2.29588e-02
1.93070e-03   1.41916e-02
2.68270e-03   8.52415e-03
3.72759e-03   5.22391e-03
5.17947e-03   3.19482e-03
7.19686e-03   1.94806e-03
1.00000e-02   1.19594e-03
1.38950e-02   7.13901e-04
1.93070e-02   4.33473e-04
2.68270e-02   2.57943e-04
3.72759e-02   1.52132e-04
5.17947e-02   8.66658e-05
7.19686e-02   4.63713e-05
1.00000e-01   2.27222e-05
1.38950e-01   9.78063e-06
1.93070e-01   3.68214e-06
2.68270e-01   1.16517e-06
3.72759e-01   3.17431e-07
5.17947e-01   7.93001e-08
7.19686e-01   1.83248e-08
1.00000e+00   3.84929e-09
1.38950e+00   7.25668e-10
1.93070e+00   1.23275e-10
2.68270e+00   2.04516e-11
3.72759e+00   2.97136e-12
5.17947e+00   3.51962e-13
7.19686e+00   3.26221e-14
1.00000e+01   2.40852e-15
