# seconds  flux
5.00000e+00  2.20364e+12
5.38836e+00  2.20313e+12
5.80688e+00  2.20309e+12
6.25792e+00  2.20360e+12
6.74398e+00  2.20332e+12
7.26780e+00  2.20376e+12
7.83230e+00  2.20366e+12
8.44065e+00  2.20366e+12
9.09625e+00  2.20335e+12
9.80277e+00  2.20360e+12
1.05642e+01  2.20352e+12
1.13847e+01  2.20341e+12
1.22690e+01  2.20335e+12
1.32219e+01  2.20339e+12
1.42489e+01  2.20352e+12
1.53557e+01  2.20343e+12
1.65484e+01  2.20370e+12
1.78337e+01  2.20350e+12
1.92189e+01  2.20377e+12
2.07116e+01  2.20377e+12
2.23204e+01  2.20343e+12
2.40540e+01  2.20364e+12
2.59223e+01  2.20351e+12
2.79358e+01  2.20365e+12
3.01056e+01  2.20366e+12
3.24440e+01  2.20380e+12
3.49639e+01  2.20396e+12
3.76797e+01  2.20386e+12
4.06063e+01  2.20352e+12
4.37603e+01  2.20353e+12
4.71592e+01  2.20352e+12
5.08222e+01  2.20379e+12
5.47696e+01  2.20411e+12
5.90237e+01  2.20395e+12
6.36082e+01  2.20351e+12
6.85487e+01  2.20397e+12
7.38730e+01  2.20379e+12
7.96109e+01  2.20402e+12
8.57944e+01  2.20425e+12
9.24582e+01  2.20385e+12
9.96396e+01  2.20404e+12
1.07379e+02  2.20384e+12
1.15719e+02  2.20407e+12
1.24707e+02  2.20408e+12
1.34394e+02  2.20408e+12
1.44832e+02  2.20431e+12
1.56081e+02  2.20421e+12
1.68205e+02  2.20471e+12
1.81269e+02  2.20436e+12
1.95349e+02  2.20478e+12
2.10522e+02  2.20469e+12
2.26874e+02  2.20451e+12
2.44495e+02  2.20447e+12
2.63486e+02  2.20492e+12
2.83951e+02  2.20495e+12
3.06006e+02  2.20545e+12
3.29774e+02  2.20522e+12
3.55389e+02  2.20546e+12
3.82992e+02  2.20544e+12
4.12740e+02  2.20551e+12
4.44798e+02  2.20604e+12
4.79347e+02  2.20574e+12
5.16578e+02  2.20671e+12
5.56702e+02  2.20673e+12
5.99942e+02  2.20712e+12
6.46541e+02  2.20760e+12
6.96759e+02  2.20763e+12
7.50877e+02  2.20805e+12
8.09199e+02  2.20884e+12
8.72051e+02  2.20951e+12
9.39785e+02  2.20985e+12
1.01278e+03  2.21068e+12
1.09144e+03  2.21187e+12
1.17622e+03  2.21295e+12
1.26758e+03  2.21450e+12
1.36603e+03  2.21634e+12
1.47214e+03  2.21879e+12
1.58648e+03  2.22349e+12
1.70970e+03  2.23206e+12
1.84250e+03  2.26129e+12
1.98561e+03  2.51469e+17
