# time  flux
1.00000e+01  2.19514e-17
1.10407e+01  2.19498e-17
1.21896e+01  2.19525e-17
1.34582e+01  2.19512e-17
1.48587e+01  2.19540e-17
1.64050e+01  2.19524e-17
1.81122e+01  2.19531e-17
1.99971e+01  2.19529e-17
2.20781e+01  2.19514e-17
2.43757e+01  2.19529e-17
2.69124e+01  2.19508e-17
2.97131e+01  2.19513e-17
3.28052e+01  2.19521e-17
3.62192e+01  2.19513e-17
3.99884e+01  2.19523e-17
4.41498e+01  2.19494e-17
4.87443e+01  2.19525e-17
5.38170e+01  2.19495e-17
5.94175e+01  2.19527e-17
6.56009e+01  2.19535e-17
7.24278e+01  2.19508e-17
7.99651e+01  2.19532e-17
8.82868e+01  2.19539e-17
9.74745e+01  2.19517e-17
1.07618e+02  2.19518e-17
1.18818e+02  2.19542e-17
1.31183e+02  2.19508e-17
1.44834e+02  2.19493e-17
1.59907e+02  2.19524e-17
1.76548e+02  2.19511e-17
1.94921e+02  2.19518e-17
2.15205e+02  2.19508e-17
2.37601e+02  2.19484e-17
2.62327e+02  2.19509e-17
2.89627e+02  2.19537e-17
3.19767e+02  2.19533e-17
3.53044e+02  2.19518e-17
3.89784e+02  2.19513e-17
4.30348e+02  2.19518e-17
4.75133e+02  2.19524e-17
5.24578e+02  2.19508e-17
5.79169e+02  2.19507e-17
6.39441e+02  2.19506e-17
7.05986e+02  2.19501e-17
7.79455e+02  2.19507e-17
8.60571e+02  2.19502e-17
9.50127e+02  2.19499e-17
1.04900e+03  2.19534e-17
1.15817e+03  2.19517e-17
1.27870e+03  2.19521e-17
1.41177e+03  2.19539e-17
1.55868e+03  2.19514e-17
1.72089e+03  2.19515e-17
1.89998e+03  2.19551e-17
2.09770e+03  2.19520e-17
2.31600e+03  2.19551e-17
2.55702e+03  2.19499e-17
2.82312e+03  2.19498e-17
3.11691e+03  2.19507e-17
3.44128e+03  2.19527e-17
3.79940e+03  2.19512e-17
4.19479e+03  2.19515e-17
4.63133e+03  2.19537e-17
5.11330e+03  2.19509e-17
5.64542e+03  2.19516e-17
6.23292e+03  2.19533e-17
6.88156e+03  2.19511e-17
7.59770e+03  2.19530e-17
8.38837e+03  2.19530e-17
9.26132e+03  2.19535e-17
1.02251e+04  2.19507e-17
1.12892e+04  2.19514e-17
1.24640e+04  2.19512e-17
1.37611e+04  2.19536e-17
1.51932e+04  2.19529e-17
1.67743e+04  2.19551e-17
1.85199e+04  2.19501e-17
2.04472e+04  2.19529e-17
2.25751e+04  2.19527e-17
2.49244e+04  2.19508e-17
2.75182e+04  2.19544e-17
3.03820e+04  2.19522e-17
3.35437e+04  2.19531e-17
3.70345e+04  2.19538e-17
4.08885e+04  2.19530e-17
4.51437e+04  2.19512e-17
4.98416e+04  2.19519e-17
5.50285e+04  2.19513e-17
6.07551e+04  2.19521e-17
6.70776e+04  2.19528e-17
7.40582e+04  2.19526e-17
8.17652e+04  2.19517e-17
9.02742e+04  2.19552e-17
9.96687e+04  2.19540e-17
1.10041e+05  2.19539e-17
1.21492e+05  2.19528e-17
1.34136e+05  2.19558e-17
1.48095e+05  2.19546e-17
1.63507e+05  2.19580e-17
1.80522e+05  2.19544e-17
1.99308e+05  2.19562e-17
2.20050e+05  2.19556e-17
2.42950e+05  2.19569e-17
2.68233e+05  2.19564e-17
2.96147e+05  2.19579e-17
3.26965e+05  2.19584e-17
