# time  flux
1.00000e+01  6.25162e-17
1.10117e+01  6.25179e-17
1.21257e+01  6.25134e-17
1.33525e+01  6.25159e-17
1.47034e+01  6.25120e-17
1.61909e+01  6.25223e-17
1.78290e+01  6.25219e-17
1.96327e+01  6.25221e-17
2.16189e+01  6.25204e-17
2.38061e+01  6.25176e-17
2.62146e+01  6.25166e-17
2.88667e+01  6.25197e-17
3.17872e+01  6.25122e-17
3.50031e+01  6.25127e-17
3.85443e+01  6.25215e-17
4.24438e+01  6.25201e-17
4.67379e+01  6.25135e-17
5.14663e+01  6.25181e-17
5.66732e+01  6.25176e-17
6.24068e+01  6.25132e-17
6.87205e+01  6.25137e-17
7.56729e+01  6.25162e-17
8.33287e+01  6.25189e-17
9.17591e+01  6.25161e-17
1.01042e+02  6.25145e-17
1.11265e+02  6.25139e-17
1.22521e+02  6.25250e-17
1.34917e+02  6.25208e-17
1.48566e+02  6.25190e-17
1.63597e+02  6.25135e-17
1.80148e+02  6.25167e-17
1.98373e+02  6.25186e-17
2.18443e+02  6.25161e-17
2.40543e+02  6.25181e-17
2.64878e+02  6.25142e-17
2.91676e+02  6.25191e-17
3.21185e+02  6.25166e-17
3.53679e+02  6.25170e-17
3.89461e+02  6.25177e-17
4.28862e+02  6.25206e-17
4.72250e+02  6.25109e-17
5.20028e+02  6.25254e-17
5.72639e+02  6.25186e-17
6.30572e+02  6.25199e-17
6.94367e+02  6.25146e-17
7.64616e+02  6.25172e-17
8.41972e+02  6.25159e-17
9.27155e+02  6.25153e-17
1.02095e+03  6.25154e-17
1.12424e+03  6.25208e-17
1.23798e+03  6.25147e-17
1.36323e+03  6.25244e-17
1.50115e+03  6.25186e-17
1.65302e+03  6.25123e-17
1.82026e+03  6.25180e-17
2.00441e+03  6.25181e-17
2.20720e+03  6.25132e-17
2.43050e+03  6.25183e-17
2.67639e+03  6.25178e-17
2.94716e+03  6.25216e-17
3.24532e+03  6.25175e-17
3.57365e+03  6.25244e-17
3.93520e+03  6.25214e-17
4.33332e+03  6.25172e-17
4.77172e+03  6.25194e-17
5.25448e+03  6.25152e-17
5.78607e+03  6.25170e-17
6.37145e+03  6.25146e-17
7.01605e+03  6.25173e-17
7.72586e+03  6.25152e-17
8.50748e+03  6.25188e-17
9.36818e+03  6.25209e-17
1.03160e+04  6.25163e-17
1.13596e+04  6.25147e-17
1.25089e+04  6.25228e-17
1.37744e+04  6.25162e-17
1.51680e+04  6.25151e-17
1.67025e+04  6.25105e-17
1.83923e+04  6.25181e-17
2.02530e+04  6.25154e-17
2.23020e+04  6.25149e-17
2.45583e+04  6.25131e-17
2.70429e+04  6.25221e-17
2.97788e+04  6.25175e-17
3.27915e+04  6.25247e-17
3.61090e+04  6.25234e-17
3.97622e+04  6.25182e-17
4.37849e+04  6.25160e-17
4.82146e+04  6.25161e-17
5.30925e+04  6.25240e-17
5.84638e+04  6.25224e-17
6.43786e+04  6.25237e-17
7.08918e+04  6.25225e-17
7.80639e+04  6.25222e-17
8.59616e+04  6.25185e-17
9.46583e+04  6.25195e-17
1.04235e+05  6.25213e-17
1.14780e+05  6.25250e-17
1.26393e+05  6.25279e-17
1.39180e+05  6.25244e-17
1.53260e+05  6.25280e-17
1.68766e+05  6.25318e-17
1.85840e+05  6.25322e-17
2.04641e+05  6.25336e-17
2.25345e+05  6.25286e-17
2.48143e+05  6.25400e-17
2.73247e+05  6.25368e-17
3.00892e+05  6.25389e-17
3.31333e+05  6.25414e-17
3.64854e+05  6.25374e-17
4.01766e+05  6.25400e-17
4.42413e+05  6.25381e-17
4.87171e+05  6.25504e-17
5.36458e+05  6.25535e-17
5.90732e+05  6.25627e-17
6.50496e+05  6.25587e-17
7.16307e+05  6.25674e-17
7.88775e+05  6.25692e-17
8.68576e+05  6.25685e-17
9.56449e+05  6.25810e-17
1.05321e+06  6.25812e-17
1.15977e+06  6.25931e-17
1.27710e+06  6.26013e-17
1.40630e+06  6.26101e-17
1.54858e+06  6.26234e-17
1.70525e+06  6.26291e-17
1.87777e+06  6.26434e-17
2.06774e+06  6.26519e-17
2.27694e+06  6.26651e-17
2.50729e+06  6.26773e-17
2.76095e+06  6.26987e-17
3.04028e+06  6.27104e-17
3.34786e+06  6.27368e-17
3.68657e+06  6.27584e-17
4.05954e+06  6.27868e-17
4.47024e+06  6.28132e-17
4.92249e+06  6.28490e-17
5.42050e+06  6.28829e-17
5.96889e+06  6.29130e-17
6.57276e+06  6.29608e-17
7.23773e+06  6.30023e-17
7.96997e+06  6.30596e-17
8.77629e+06  6.31127e-17
9.66418e+06  6.31825e-17
1.06419e+07  6.32497e-17
1.17185e+07  6.33389e-17
1.29041e+07  6.34230e-17
1.42096e+07  6.35245e-17
1.56472e+07  6.36391e-17
1.72302e+07  6.37791e-17
1.89734e+07  6.39276e-17
2.08929e+07  6.41116e-17
2.30067e+07  6.43240e-17
2.53343e+07  6.45856e-17
2.78973e+07  6.49069e-17
3.07197e+07  6.53523e-17
3.38276e+07  6.60143e-17
3.72499e+07  6.73499e-17
4.10185e+07  7.54689e-17
4.51683e+07  4.74347e-15
4.97380e+07  4.54794e-15
5.47700e+07  4.36255e-15
6.03111e+07  4.18249e-15
6.64127e+07  4.00511e-15
7.31317e+07  3.83044e-15
8.05304e+07  3.65762e-15
8.86776e+07  3.48653e-15
9.76491e+07  3.32086e-15
1.07528e+08  3.15469e-15
1.18407e+08  2.99222e-15
1.30386e+08  2.83404e-15
1.43577e+08  2.67950e-15
1.58103e+08  2.52861e-15
1.74098e+08  2.38343e-15
1.91712e+08  2.24310e-15
2.11107e+08  2.10709e-15
2.32465e+08  1.97767e-15
2.55983e+08  1.85430e-15
2.81881e+08  1.73774e-15
3.10399e+08  1.62635e-15
3.41802e+08  1.52175e-15
3.76382e+08  1.42373e-15
4.14460e+08  1.33222e-15
4.56391e+08  1.24745e-15
5.02564e+08  1.16921e-15
5.53409e+08  1.09763e-15
6.09397e+08  1.03256e-15
6.71049e+08  9.74879e-16
7.38939e+08  9.24058e-16
8.13698e+08  8.80798e-16
8.96019e+08  8.45313e-16
9.86669e+08  8.18253e-16
1.08649e+09  7.99238e-16
1.19641e+09  7.85721e-16
1.31745e+09  7.66491e-16
1.45074e+09  7.05531e-16
