# year       flux
1.00000e-03  7.29801e-04
1.08898e-03  7.30467e-04
1.18588e-03  7.38074e-04
1.29140e-03  7.44262e-04
1.40630e-03  7.51103e-04
1.53144e-03  7.58574e-04
1.66770e-03  7.65416e-04
1.81609e-03  7.76209e-04
1.97769e-03  7.88161e-04
2.15366e-03  8.00913e-04
2.34529e-03  8.15563e-04
2.55398e-03  8.36196e-04
2.78123e-03  8.59583e-04
3.02870e-03  8.87402e-04
3.29820e-03  9.23191e-04
3.59167e-03  9.68885e-04
3.91125e-03  1.03525e-03
4.25927e-03  1.12728e-03
4.63826e-03  1.27408e-03
5.05097e-03  1.54106e-03
5.50041e-03  2.19973e-03
5.98983e-03  6.83351e-03
6.52280e-03  4.97800e+00
7.10320e-03  1.92638e+00
7.73524e-03  1.15597e+00
8.42352e-03  8.04985e-01
9.17304e-03  6.05065e-01
9.98926e-03  4.76388e-01
1.08781e-02  3.86924e-01
1.18460e-02  3.21025e-01
1.29001e-02  2.71011e-01
1.40479e-02  2.31594e-01
1.52979e-02  2.00008e-01
1.66591e-02  1.74194e-01
1.81414e-02  1.52696e-01
1.97556e-02  1.34722e-01
2.15135e-02  1.19256e-01
2.34277e-02  1.06046e-01
2.55123e-02  9.47357e-02
2.77824e-02  8.48569e-02
3.02545e-02  7.61599e-02
3.29465e-02  6.85440e-02
3.58781e-02  6.18331e-02
3.90705e-02  5.58818e-02
4.25470e-02  5.05426e-02
4.63328e-02  4.58013e-02
5.04555e-02  4.16096e-02
5.49450e-02  3.77978e-02
5.98340e-02  3.43685e-02
6.51580e-02  3.13032e-02
7.09557e-02  2.85367e-02
7.72693e-02  2.60261e-02
8.41447e-02  2.37599e-02
9.16319e-02  2.16765e-02
9.97852e-02  1.98247e-02
1.08664e-01  1.81158e-02
1.18333e-01  1.65700e-02
1.28862e-01  1.51688e-02
1.40328e-01  1.38820e-02
1.52815e-01  1.27141e-02
1.66412e-01  1.16490e-02
1.81219e-01  1.06779e-02
1.97344e-01  9.78052e-03
2.14904e-01  8.96093e-03
2.34026e-01  8.22224e-03
2.54849e-01  7.54275e-03
2.77526e-01  6.90888e-03
3.02220e-01  6.33893e-03
3.29111e-01  5.81318e-03
3.58395e-01  5.32670e-03
3.90285e-01  4.88463e-03
4.25013e-01  4.47484e-03
4.62830e-01  4.09814e-03
5.04013e-01  3.75456e-03
5.48859e-01  3.43438e-03
5.97697e-01  3.14046e-03
6.50880e-01  2.86875e-03
7.08795e-01  2.61811e-03
7.71863e-01  2.38530e-03
8.40543e-01  2.16895e-03
9.15334e-01  1.96851e-03
9.96780e-01  1.78216e-03
1.08547e+00  1.60773e-03
1.18206e+00  1.44408e-03
1.28724e+00  1.29007e-03
1.40177e+00  1.14455e-03
1.52650e+00  1.00520e-03
1.66233e+00  8.71467e-04
1.81025e+00  7.42767e-04
1.97132e+00  6.17405e-04
2.14673e+00  4.94786e-04
2.33774e+00  3.75751e-04
2.54575e+00  2.63092e-04
2.77227e+00  1.61316e-04
3.01895e+00  7.98464e-05
3.28758e+00  2.66508e-05
3.58010e+00  3.95823e-06
3.89866e+00  7.16056e-08
4.24556e+00  1.96809e-13
4.62333e+00  0.00000e+00
