# year       flux
1.00000e-03  7.26759e-04
1.08898e-03  7.31750e-04
1.18588e-03  7.34588e-04
1.29140e-03  7.42069e-04
1.40630e-03  7.48182e-04
1.53144e-03  7.55586e-04
1.66770e-03  7.63204e-04
1.81609e-03  7.70998e-04
1.97769e-03  7.83270e-04
2.15366e-03  7.95134e-04
2.34529e-03  8.05964e-04
2.55398e-03  8.26227e-04
2.78123e-03  8.47433e-04
3.02870e-03  8.72192e-04
3.29820e-03  9.03480e-04
3.59167e-03  9.40392e-04
3.91125e-03  9.91876e-04
4.25927e-03  1.06065e-03
4.63826e-03  1.15436e-03
5.05097e-03  1.30001e-03
5.50041e-03  1.54336e-03
5.98983e-03  2.16408e-03
6.52280e-03  5.07518e-03
7.10320e-03  4.66760e-03
7.73524e-03  4.43732e-03
8.42352e-03  4.27097e-03
9.17304e-03  4.14192e-03
9.98926e-03  4.03272e-03
1.08781e-02  3.93113e-03
1.18460e-02  3.84629e-03
1.29001e-02  3.76292e-03
1.40479e-02  3.68820e-03
1.52979e-02  3.62146e-03
1.66591e-02  3.54918e-03
1.81414e-02  3.48217e-03
1.97556e-02  3.41445e-03
2.15135e-02  3.35920e-03
2.34277e-02  3.30356e-03
2.55123e-02  3.24723e-03
2.77824e-02  3.19081e-03
3.02545e-02  3.13506e-03
3.29465e-02  3.08308e-03
3.58781e-02  3.03010e-03
3.90705e-02  2.97757e-03
4.25470e-02  2.92744e-03
4.63328e-02  2.87621e-03
5.04555e-02  2.82553e-03
5.49450e-02  2.77573e-03
5.98340e-02  2.72526e-03
6.51580e-02  2.67755e-03
7.09557e-02  2.62655e-03
7.72693e-02  2.58226e-03
8.41447e-02  2.53139e-03
9.16319e-02  2.48396e-03
9.97852e-02  2.43517e-03
1.08664e-01  2.38900e-03
1.18333e-01  2.33919e-03
1.28862e-01  2.29187e-03
1.40328e-01  2.23393e-03
1.52815e-01  2.18876e-03
1.66412e-01  2.13988e-03
1.81219e-01  2.09947e-03
1.97344e-01  2.05380e-03
2.14904e-01  1.99732e-03
2.34026e-01  1.95024e-03
2.54849e-01  1.90588e-03
2.77526e-01  1.85787e-03
3.02220e-01  1.80953e-03
3.29111e-01  1.75538e-03
3.58395e-01  1.70569e-03
3.90285e-01  1.65872e-03
4.25013e-01  1.60649e-03
4.62830e-01  1.55827e-03
5.04013e-01  1.50329e-03
5.48859e-01  1.45083e-03
5.97697e-01  1.39781e-03
6.50880e-01  1.34670e-03
7.08795e-01  1.28802e-03
7.71863e-01  1.23308e-03
8.40543e-01  1.17667e-03
9.15334e-01  1.11697e-03
9.96780e-01  1.05571e-03
1.08547e+00  9.93270e-04
1.18206e+00  9.28814e-04
1.28724e+00  8.64640e-04
1.40177e+00  7.93876e-04
1.52650e+00  7.22069e-04
1.66233e+00  6.46482e-04
1.81025e+00  5.68506e-04
1.97132e+00  4.85180e-04
2.14673e+00  3.98386e-04
2.33774e+00  3.09807e-04
2.54575e+00  2.20626e-04
2.77227e+00  1.37285e-04
3.01895e+00  6.89877e-05
3.28758e+00  2.32429e-05
3.58010e+00  3.48611e-06
3.89866e+00  6.33115e-08
4.24556e+00  1.74698e-13
4.62333e+00  0.00000e+00
