# year       flux
1.00000e-03  2.15200e-03
1.08316e-03  2.16647e-03
1.17323e-03  2.18329e-03
1.27080e-03  2.20160e-03
1.37647e-03  2.23819e-03
1.49094e-03  2.26941e-03
1.61492e-03  2.30446e-03
1.74922e-03  2.34619e-03
1.89468e-03  2.39279e-03
2.05224e-03  2.44841e-03
2.22290e-03  2.51807e-03
2.40775e-03  2.62186e-03
2.60798e-03  2.74547e-03
2.82485e-03  2.91553e-03
3.05976e-03  3.18035e-03
3.31421e-03  3.65926e-03
3.58981e-03  5.60673e-03
3.88833e-03  1.03866e-02
4.21168e-03  9.63895e-03
4.56192e-03  9.22196e-03
4.94128e-03  8.89443e-03
5.35219e-03  8.62796e-03
5.79727e-03  8.41146e-03
6.27936e-03  8.21080e-03
6.80154e-03  8.02562e-03
7.36715e-03  7.86411e-03
7.97979e-03  7.70791e-03
8.64338e-03  7.55193e-03
9.36215e-03  7.39850e-03
1.01407e-02  7.28604e-03
1.09840e-02  7.15585e-03
1.18974e-02  7.02528e-03
1.28867e-02  6.90958e-03
1.39584e-02  6.78942e-03
1.51191e-02  6.66631e-03
1.63764e-02  6.54186e-03
1.77383e-02  6.45021e-03
1.92134e-02  6.33881e-03
2.08111e-02  6.23190e-03
2.25417e-02  6.12254e-03
2.44163e-02  6.01719e-03
2.64467e-02  5.91737e-03
2.86459e-02  5.81374e-03
3.10281e-02  5.70878e-03
3.36083e-02  5.60701e-03
3.64032e-02  5.50881e-03
3.94304e-02  5.40700e-03
4.27093e-02  5.30977e-03
4.62610e-02  5.21026e-03
5.01080e-02  5.11245e-03
5.42749e-02  5.01270e-03
5.87883e-02  4.91010e-03
6.36770e-02  4.80463e-03
6.89723e-02  4.69720e-03
7.47079e-02  4.62407e-03
8.09205e-02  4.52958e-03
8.76498e-02  4.42942e-03
9.49386e-02  4.33530e-03
1.02834e-01  4.24069e-03
1.11385e-01  4.14396e-03
1.20648e-01  4.04629e-03
1.30680e-01  3.94788e-03
1.41548e-01  3.84808e-03
1.53319e-01  3.75785e-03
1.66068e-01  3.66121e-03
1.79878e-01  3.56224e-03
1.94837e-01  3.45917e-03
2.11039e-01  3.36015e-03
2.28589e-01  3.27087e-03
2.47598e-01  3.17413e-03
2.68187e-01  3.07373e-03
2.90489e-01  2.97577e-03
3.14646e-01  2.87609e-03
3.40812e-01  2.77446e-03
3.69153e-01  2.67263e-03
3.99851e-01  2.56988e-03
4.33102e-01  2.46737e-03
4.69118e-01  2.36129e-03
5.08129e-01  2.25544e-03
5.50385e-01  2.14638e-03
5.96154e-01  2.03328e-03
6.45729e-01  1.91615e-03
6.99427e-01  1.79689e-03
7.57590e-01  1.67503e-03
8.20590e-01  1.54947e-03
8.88829e-01  1.42141e-03
9.62742e-01  1.30057e-03
1.04280e+00  1.15857e-03
1.12952e+00  1.01021e-03
1.22345e+00  8.55397e-04
1.32519e+00  6.93856e-04
1.43539e+00  5.28863e-04
1.55475e+00  3.67769e-04
1.68405e+00  2.20876e-04
1.82409e+00  1.04815e-04
1.97578e+00  3.24839e-05
2.14008e+00  4.20048e-06
2.31804e+00  5.64433e-08
2.51081e+00  6.12064e-14
2.71960e+00  0.00000e+00
