# year       flux
1.00000e-03  7.28738e-04
1.08898e-03  7.33727e-04
1.18588e-03  7.37998e-04
1.29140e-03  7.44495e-04
1.40630e-03  7.50864e-04
1.53144e-03  7.58146e-04
1.66770e-03  7.65184e-04
1.81609e-03  7.76637e-04
1.97769e-03  7.88493e-04
2.15366e-03  8.01011e-04
2.34529e-03  8.17448e-04
2.55398e-03  8.36248e-04
2.78123e-03  8.58491e-04
3.02870e-03  8.85329e-04
3.29820e-03  9.24030e-04
3.59167e-03  9.70192e-04
3.91125e-03  1.03423e-03
4.25927e-03  1.12748e-03
4.63826e-03  1.27345e-03
5.05097e-03  1.53899e-03
5.50041e-03  2.20199e-03
5.98983e-03  6.82456e-03
6.52280e-03  4.98241e+00
7.10320e-03  1.92578e+00
7.73524e-03  1.15526e+00
8.42352e-03  8.04891e-01
9.17304e-03  6.04902e-01
9.98926e-03  4.76298e-01
1.08781e-02  3.86892e-01
1.18460e-02  3.21088e-01
1.29001e-02  2.70939e-01
1.40479e-02  2.31565e-01
1.52979e-02  1.99992e-01
1.66591e-02  1.74235e-01
1.81414e-02  1.52630e-01
1.97556e-02  1.34689e-01
2.15135e-02  1.19161e-01
2.34277e-02  1.06086e-01
2.55123e-02  9.47309e-02
2.77824e-02  8.48620e-02
3.02545e-02  7.61996e-02
3.29465e-02  6.85570e-02
3.58781e-02  6.18303e-02
3.90705e-02  5.58444e-02
4.25470e-02  5.05464e-02
4.63328e-02  4.58373e-02
5.04555e-02  4.15976e-02
5.49450e-02  3.77789e-02
5.98340e-02  3.44023e-02
6.51580e-02  3.13024e-02
7.09557e-02  2.84782e-02
7.72693e-02  2.60353e-02
8.41447e-02  2.37496e-02
9.16319e-02  2.16551e-02
9.97852e-02  1.98232e-02
1.08664e-01  1.81275e-02
1.18333e-01  1.65660e-02
1.28862e-01  1.51280e-02
1.40328e-01  1.38234e-02
1.52815e-01  1.27124e-02
1.66412e-01  1.16502e-02
1.81219e-01  1.06715e-02
1.97344e-01  9.78214e-03
2.14904e-01  8.96715e-03
2.34026e-01  8.21761e-03
2.54849e-01  7.54192e-03
2.77526e-01  6.91312e-03
3.02220e-01  6.33766e-03
3.29111e-01  5.81291e-03
3.58395e-01  5.32703e-03
3.90285e-01  4.88189e-03
4.25013e-01  4.47391e-03
4.62830e-01  4.09717e-03
5.04013e-01  3.75549e-03
5.48859e-01  3.43513e-03
5.97697e-01  3.13807e-03
6.50880e-01  2.86907e-03
7.08795e-01  2.61740e-03
7.71863e-01  2.38448e-03
8.40543e-01  2.17082e-03
9.15334e-01  1.96906e-03
9.96780e-01  1.78094e-03
1.08547e+00  1.60878e-03
1.18206e+00  1.44494e-03
1.28724e+00  1.28988e-03
1.40177e+00  1.14380e-03
1.52650e+00  1.00535e-03
1.66233e+00  8.71967e-04
1.81025e+00  7.42356e-04
1.97132e+00  6.17262e-04
2.14673e+00  4.94859e-04
2.33774e+00  3.75983e-04
2.54575e+00  2.63049e-04
2.77227e+00  1.61608e-04
3.01895e+00  7.98530e-05
3.28758e+00  2.66553e-05
3.58010e+00  3.95593e-06
3.89866e+00  7.15893e-08
4.24556e+00  1.96922e-13
4.62333e+00  0.00000e+00
