# mx         event         exit_code
1.00000e-06  2.08574e+06  0
2.48163e-06  6.42466e+05  0
6.15848e-06  2.53416e+05  0
1.52831e-05  4.41228e+02  0
3.79269e-05  2.64482e+03  0
9.41205e-05  5.73320e+03  0
2.33572e-04  1.00103e+03  0
5.79639e-04  3.66617e+02  0
1.43845e-03  3.77655e+01  0
3.56970e-03  6.81979e+00  0
8.85867e-03  1.70704e+00  0
2.19839e-02  5.36722e-02  0
5.45559e-02  1.10889e-01  0
1.35388e-01  1.73139e-02  0
3.35982e-01  5.92714e-04  0
8.33782e-01  3.44935e-06  0
2.06914e+00  1.59198e-08  0
5.13483e+00  6.65960e-11  0
1.27427e+01  6.72208e-14  0
3.16228e+01  1.23437e-17  0
