# time       flux         exit_code
1.00000e+01  1.58896e-18  0
1.10407e+01  1.58962e-18  0
1.21896e+01  1.58938e-18  0
1.34582e+01  1.58955e-18  0
1.48587e+01  1.58981e-18  0
1.64050e+01  1.58928e-18  0
1.81122e+01  1.58960e-18  0
1.99971e+01  1.58982e-18  0
2.20781e+01  1.58953e-18  0
2.43757e+01  1.58954e-18  0
2.69124e+01  1.58901e-18  0
2.97131e+01  1.58947e-18  0
3.28052e+01  1.58903e-18  0
3.62192e+01  1.58998e-18  0
3.99884e+01  1.58903e-18  0
4.41498e+01  1.58973e-18  0
4.87443e+01  1.58937e-18  0
5.38170e+01  1.58949e-18  0
5.94175e+01  1.58943e-18  0
6.56009e+01  1.58960e-18  0
7.24278e+01  1.58945e-18  0
7.99651e+01  1.58961e-18  0
8.82868e+01  1.58967e-18  0
9.74745e+01  1.58935e-18  0
1.07618e+02  1.58932e-18  0
1.18818e+02  1.58945e-18  0
1.31183e+02  1.58972e-18  0
1.44834e+02  1.58935e-18  0
1.59907e+02  1.58943e-18  0
1.76548e+02  1.58941e-18  0
1.94921e+02  1.58965e-18  0
2.15205e+02  1.58955e-18  0
2.37601e+02  1.58945e-18  0
2.62327e+02  1.58902e-18  0
2.89627e+02  1.58959e-18  0
3.19767e+02  1.58903e-18  0
3.53044e+02  1.58932e-18  0
3.89784e+02  1.58955e-18  0
4.30348e+02  1.58913e-18  0
4.75133e+02  1.58917e-18  0
5.24578e+02  1.58965e-18  0
5.79169e+02  1.58896e-18  0
6.39441e+02  1.58971e-18  0
7.05986e+02  1.58908e-18  0
7.79455e+02  1.58940e-18  0
8.60571e+02  1.58936e-18  0
9.50127e+02  1.58920e-18  0
1.04900e+03  1.58987e-18  0
1.15817e+03  1.58936e-18  0
1.27870e+03  1.58951e-18  0
1.41177e+03  1.58987e-18  0
1.55868e+03  1.58939e-18  0
1.72089e+03  1.58991e-18  0
1.89998e+03  1.58976e-18  0
2.09770e+03  1.58913e-18  0
2.31600e+03  1.58959e-18  0
2.55702e+03  1.58946e-18  0
2.82312e+03  1.58968e-18  0
3.11691e+03  1.58973e-18  0
3.44128e+03  1.58940e-18  0
3.79940e+03  1.58937e-18  0
4.19479e+03  1.58942e-18  0
4.63133e+03  1.58929e-18  0
5.11330e+03  1.58973e-18  0
5.64542e+03  1.58945e-18  0
6.23292e+03  1.58926e-18  0
6.88156e+03  1.58937e-18  0
7.59770e+03  1.58970e-18  0
8.38837e+03  1.58949e-18  0
9.26132e+03  1.58937e-18  0
1.02251e+04  1.58956e-18  0
1.12892e+04  1.58939e-18  0
1.24640e+04  1.58958e-18  0
1.37611e+04  1.58955e-18  0
1.51932e+04  1.58963e-18  0
1.67743e+04  1.58938e-18  0
1.85199e+04  1.59006e-18  0
2.04472e+04  1.58932e-18  0
2.25751e+04  1.58970e-18  0
2.49244e+04  1.58951e-18  0
2.75182e+04  1.58916e-18  0
3.03820e+04  1.58954e-18  0
3.35437e+04  1.58919e-18  0
3.70345e+04  1.58959e-18  0
4.08885e+04  1.58972e-18  0
4.51437e+04  1.58975e-18  0
4.98416e+04  1.58954e-18  0
5.50285e+04  1.58972e-18  0
6.07551e+04  1.59007e-18  0
6.70776e+04  1.58952e-18  0
7.40582e+04  1.58941e-18  0
8.17652e+04  1.58964e-18  0
9.02742e+04  1.58953e-18  0
9.96687e+04  1.58997e-18  0
1.10041e+05  1.59013e-18  0
1.21492e+05  1.59000e-18  0
1.34136e+05  1.58974e-18  0
1.48095e+05  1.59055e-18  0
1.63507e+05  1.59012e-18  0
1.80522e+05  1.59000e-18  0
1.99308e+05  1.59033e-18  0
2.20050e+05  1.59066e-18  0
2.42950e+05  1.59042e-18  0
2.68233e+05  1.59067e-18  0
2.96147e+05  1.59037e-18  0
3.26965e+05  1.59074e-18  0
3.60992e+05  1.59069e-18  0
3.98559e+05  1.59097e-18  0
4.40035e+05  1.59111e-18  0
4.85828e+05  1.59123e-18  0
5.36387e+05  1.59121e-18  0
5.92207e+05  1.59184e-18  0
6.53836e+05  1.59208e-18  0
7.21878e+05  1.59212e-18  0
7.97002e+05  1.59255e-18  0
8.79943e+05  1.59276e-18  0
9.71516e+05  1.59346e-18  0
1.07262e+06  1.59387e-18  0
1.18424e+06  1.59367e-18  0
1.30748e+06  1.59396e-18  0
1.44355e+06  1.59503e-18  0
1.59377e+06  1.59557e-18  0
1.75963e+06  1.59663e-18  0
1.94275e+06  1.59676e-18  0
2.14492e+06  1.59781e-18  0
2.36814e+06  1.59862e-18  0
2.61458e+06  1.59965e-18  0
2.88667e+06  1.60076e-18  0
3.18708e+06  1.60209e-18  0
3.51875e+06  1.60320e-18  0
3.88493e+06  1.60466e-18  0
4.28922e+06  1.60604e-18  0
4.73559e+06  1.60818e-18  0
5.22840e+06  1.61009e-18  0
5.77251e+06  1.61285e-18  0
6.37323e+06  1.61487e-18  0
7.03647e+06  1.61737e-18  0
7.76873e+06  1.62046e-18  0
8.57720e+06  1.62385e-18  0
9.46980e+06  1.62784e-18  0
1.04553e+07  1.63174e-18  0
1.15433e+07  1.63599e-18  0
1.27446e+07  1.64141e-18  0
1.40709e+07  1.64713e-18  0
1.55352e+07  1.65391e-18  0
1.71519e+07  1.66104e-18  0
1.89368e+07  1.66886e-18  0
2.09075e+07  1.67825e-18  0
2.30833e+07  1.68840e-18  0
2.54855e+07  1.69987e-18  0
2.81377e+07  1.71304e-18  0
3.10659e+07  1.72855e-18  0
3.42988e+07  1.74642e-18  0
3.78682e+07  1.76704e-18  0
4.18090e+07  1.79104e-18  0
4.61599e+07  1.82013e-18  0
5.09636e+07  1.85713e-18  0
5.62672e+07  1.90465e-18  0
6.21227e+07  1.97486e-18  0
6.85876e+07  2.12965e-18  0
7.57253e+07  2.59278e-17  0
8.36058e+07  2.59786e-17  0
9.23063e+07  2.59406e-17  0
1.01912e+08  2.59963e-17  0
1.12518e+08  2.60601e-17  0
1.24227e+08  2.61316e-17  0
1.37155e+08  2.62182e-17  0
1.51429e+08  2.63640e-17  0
1.67187e+08  2.64123e-17  0
1.84586e+08  2.65708e-17  0
2.03795e+08  2.67032e-17  0
2.25003e+08  2.68757e-17  0
2.48419e+08  2.70634e-17  0
2.74271e+08  2.72529e-17  0
3.02813e+08  2.74896e-17  0
3.34326e+08  2.77471e-17  0
3.69118e+08  2.80466e-17  0
4.07531e+08  2.83778e-17  0
4.49941e+08  2.87426e-17  0
4.96765e+08  2.91551e-17  0
5.48462e+08  2.96529e-17  0
6.05538e+08  3.02440e-17  0
6.68554e+08  3.08912e-17  0
7.38128e+08  3.16370e-17  0
8.14943e+08  3.25357e-17  0
8.99751e+08  3.35823e-17  0
9.93385e+08  3.48420e-17  0
1.09676e+09  3.63292e-17  0
1.21090e+09  3.81473e-17  0
1.33691e+09  4.03627e-17  0
1.47604e+09  4.31205e-17  0
1.62965e+09  4.65893e-17  0
1.79924e+09  5.09200e-17  0
1.98648e+09  5.61969e-17  0
2.19321e+09  6.16767e-17  0
2.42145e+09  6.39861e-17  0
2.67344e+09  5.34768e-17  0
2.95165e+09  2.08208e-17  0
3.25882e+09  1.60837e-19  0
3.59796e+09  0.00000e+00  0
