# time       flux         exit_code
1.00000e+01  1.54628e-18  0
1.10130e+01  1.54630e-18  0
1.21287e+01  1.54643e-18  0
1.33573e+01  1.54627e-18  0
1.47104e+01  1.54627e-18  0
1.62006e+01  1.54637e-18  0
1.78418e+01  1.54656e-18  0
1.96492e+01  1.54618e-18  0
2.16396e+01  1.54616e-18  0
2.38318e+01  1.54610e-18  0
2.62460e+01  1.54616e-18  0
2.89047e+01  1.54613e-18  0
3.18328e+01  1.54620e-18  0
3.50575e+01  1.54608e-18  0
3.86089e+01  1.54620e-18  0
4.25201e+01  1.54611e-18  0
4.68274e+01  1.54592e-18  0
5.15711e+01  1.54609e-18  0
5.67954e+01  1.54604e-18  0
6.25488e+01  1.54599e-18  0
6.88851e+01  1.54655e-18  0
7.58633e+01  1.54641e-18  0
8.35483e+01  1.54598e-18  0
9.20119e+01  1.54638e-18  0
1.01333e+02  1.54630e-18  0
1.11598e+02  1.54626e-18  0
1.22903e+02  1.54612e-18  0
1.35353e+02  1.54654e-18  0
1.49065e+02  1.54631e-18  0
1.64165e+02  1.54633e-18  0
1.80796e+02  1.54623e-18  0
1.99111e+02  1.54604e-18  0
2.19281e+02  1.54663e-18  0
2.41494e+02  1.54674e-18  0
2.65958e+02  1.54639e-18  0
2.92900e+02  1.54618e-18  0
3.22571e+02  1.54637e-18  0
3.55248e+02  1.54620e-18  0
3.91235e+02  1.54651e-18  0
4.30868e+02  1.54641e-18  0
4.74516e+02  1.54618e-18  0
5.22585e+02  1.54606e-18  0
5.75524e+02  1.54629e-18  0
6.33825e+02  1.54596e-18  0
6.98033e+02  1.54628e-18  0
7.68744e+02  1.54653e-18  0
8.46619e+02  1.54624e-18  0
9.32383e+02  1.54609e-18  0
1.02684e+03  1.54625e-18  0
1.13086e+03  1.54661e-18  0
1.24541e+03  1.54622e-18  0
1.37158e+03  1.54625e-18  0
1.51052e+03  1.54622e-18  0
1.66354e+03  1.54658e-18  0
1.83205e+03  1.54619e-18  0
2.01764e+03  1.54619e-18  0
2.22203e+03  1.54618e-18  0
2.44713e+03  1.54643e-18  0
2.69503e+03  1.54627e-18  0
2.96804e+03  1.54616e-18  0
3.26871e+03  1.54670e-18  0
3.59983e+03  1.54642e-18  0
3.96450e+03  1.54623e-18  0
4.36611e+03  1.54642e-18  0
4.80840e+03  1.54617e-18  0
5.29550e+03  1.54641e-18  0
5.83195e+03  1.54605e-18  0
6.42273e+03  1.54641e-18  0
7.07337e+03  1.54659e-18  0
7.78991e+03  1.54646e-18  0
8.57904e+03  1.54630e-18  0
9.44811e+03  1.54612e-18  0
1.04052e+04  1.54610e-18  0
1.14593e+04  1.54632e-18  0
1.26201e+04  1.54618e-18  0
1.38986e+04  1.54653e-18  0
1.53065e+04  1.54655e-18  0
1.68571e+04  1.54658e-18  0
1.85647e+04  1.54633e-18  0
2.04454e+04  1.54670e-18  0
2.25165e+04  1.54702e-18  0
2.47975e+04  1.54630e-18  0
2.73095e+04  1.54667e-18  0
3.00760e+04  1.54659e-18  0
3.31227e+04  1.54674e-18  0
3.64781e+04  1.54636e-18  0
4.01734e+04  1.54678e-18  0
4.42431e+04  1.54685e-18  0
4.87250e+04  1.54655e-18  0
5.36609e+04  1.54657e-18  0
5.90968e+04  1.54701e-18  0
6.50834e+04  1.54722e-18  0
7.16764e+04  1.54695e-18  0
7.89374e+04  1.54726e-18  0
8.69339e+04  1.54740e-18  0
9.57404e+04  1.54753e-18  0
1.05439e+05  1.54741e-18  0
1.16120e+05  1.54757e-18  0
1.27883e+05  1.54772e-18  0
1.40838e+05  1.54775e-18  0
1.55105e+05  1.54817e-18  0
1.70818e+05  1.54804e-18  0
1.88122e+05  1.54829e-18  0
2.07179e+05  1.54876e-18  0
2.28166e+05  1.54907e-18  0
2.51280e+05  1.54949e-18  0
2.76735e+05  1.54969e-18  0
3.04769e+05  1.54991e-18  0
3.35642e+05  1.55027e-18  0
3.69643e+05  1.55097e-18  0
4.07089e+05  1.55131e-18  0
4.48328e+05  1.55178e-18  0
4.93744e+05  1.55203e-18  0
